version = 6
CPU 0 is empty
CPU 2 is empty
CPU 3 is empty
cpus=4
              nc-26365 [001] 211673.500464: funcgraph_entry:        0.231 us   |                    ipv4_mtu();
              nc-26365 [001] 211673.500465: funcgraph_entry:                   |                    tcp_established_options() {
              nc-26365 [001] 211673.500466: funcgraph_entry:                   |                      tcp_v4_md5_lookup() {
              nc-26365 [001] 211673.500466: funcgraph_entry:        0.047 us   |                        tcp_md5_do_lookup();
              nc-26365 [001] 211673.500466: funcgraph_exit:         0.538 us   |                      }
              nc-26365 [001] 211673.500467: funcgraph_exit:         1.249 us   |                    }
              nc-26365 [001] 211673.500467: funcgraph_exit:         3.081 us   |                  }
              nc-26365 [001] 211673.500467: funcgraph_exit:         3.792 us   |                }
              nc-26365 [001] 211673.500468: funcgraph_entry:                   |                sk_stream_alloc_skb() {
              nc-26365 [001] 211673.500468: funcgraph_entry:                   |                  __alloc_skb() {
              nc-26365 [001] 211673.500469: funcgraph_entry:                   |                    kmem_cache_alloc_node() {
              nc-26365 [001] 211673.500469: funcgraph_entry:        0.063 us   |                      _cond_resched();
              nc-26365 [001] 211673.500470: funcgraph_exit:         0.729 us   |                    }
              nc-26365 [001] 211673.500470: funcgraph_entry:                   |                    __kmalloc_reserve.isra.32() {
              nc-26365 [001] 211673.500470: funcgraph_entry:                   |                      __kmalloc_node_track_caller() {
              nc-26365 [001] 211673.500471: funcgraph_entry:        0.072 us   |                        kmalloc_slab();
              nc-26365 [001] 211673.500471: funcgraph_entry:                   |                        kmem_cache_alloc_node_trace() {
              nc-26365 [001] 211673.500471: funcgraph_entry:        0.056 us   |                          _cond_resched();
              nc-26365 [001] 211673.500472: funcgraph_exit:         0.952 us   |                        }
              nc-26365 [001] 211673.500472: funcgraph_exit:         1.929 us   |                      }
              nc-26365 [001] 211673.500473: funcgraph_exit:         2.423 us   |                    }
              nc-26365 [001] 211673.500473: funcgraph_entry:        0.289 us   |                    ksize();
              nc-26365 [001] 211673.500474: funcgraph_exit:         5.102 us   |                  }
              nc-26365 [001] 211673.500474: funcgraph_entry:        0.056 us   |                  sk_forced_mem_schedule();
              nc-26365 [001] 211673.500475: funcgraph_exit:         6.571 us   |                }
              nc-26365 [001] 211673.500475: funcgraph_entry:                   |                skb_entail() {
              nc-26365 [001] 211673.500475: funcgraph_entry:                   |                  tcp_cwnd_restart() {
              nc-26365 [001] 211673.500476: funcgraph_entry:        0.310 us   |                    tcp_init_cwnd();
              nc-26365 [001] 211673.500477: funcgraph_entry:        0.064 us   |                    bictcp_cwnd_event();
              nc-26365 [001] 211673.500477: funcgraph_exit:         1.744 us   |                  }
              nc-26365 [001] 211673.500478: funcgraph_exit:         2.431 us   |                }
              nc-26365 [001] 211673.500478: funcgraph_entry:        0.075 us   |                skb_put();
              nc-26365 [001] 211673.500479: funcgraph_entry:                   |                tcp_push() {
              nc-26365 [001] 211673.500479: funcgraph_entry:                   |                  __tcp_push_pending_frames() {
              nc-26365 [001] 211673.500480: funcgraph_entry:                   |                    tcp_write_xmit() {
              nc-26365 [001] 211673.500480: funcgraph_entry:        0.085 us   |                      tcp_init_tso_segs();
              nc-26365 [001] 211673.500481: funcgraph_entry:                   |                      tcp_transmit_skb() {
              nc-26365 [001] 211673.500482: funcgraph_entry:                   |                        skb_clone() {
              nc-26365 [001] 211673.500482: funcgraph_entry:                   |                          __skb_clone() {
              nc-26365 [001] 211673.500483: funcgraph_entry:        0.161 us   |                            __copy_skb_header();
              nc-26365 [001] 211673.500483: funcgraph_exit:         0.870 us   |                          }
              nc-26365 [001] 211673.500483: funcgraph_exit:         1.652 us   |                        }
              nc-26365 [001] 211673.500484: funcgraph_entry:                   |                        tcp_established_options() {
              nc-26365 [001] 211673.500484: funcgraph_entry:                   |                          tcp_v4_md5_lookup() {
              nc-26365 [001] 211673.500484: funcgraph_entry:        0.057 us   |                            tcp_md5_do_lookup();
              nc-26365 [001] 211673.500485: funcgraph_exit:         0.538 us   |                          }
              nc-26365 [001] 211673.500485: funcgraph_exit:         1.026 us   |                        }
              nc-26365 [001] 211673.500485: funcgraph_entry:        0.058 us   |                        skb_push();
              nc-26365 [001] 211673.500486: funcgraph_entry:        0.173 us   |                        __tcp_select_window();
              nc-26365 [001] 211673.500487: funcgraph_entry:        0.132 us   |                        tcp_options_write();
              nc-26365 [001] 211673.500487: funcgraph_entry:                   |                        tcp_v4_send_check() {
              nc-26365 [001] 211673.500487: funcgraph_entry:        0.079 us   |                          __tcp_v4_send_check();
              nc-26365 [001] 211673.500488: funcgraph_exit:         0.534 us   |                        }
              nc-26365 [001] 211673.500488: funcgraph_entry:        0.081 us   |                        bictcp_cwnd_event();
              nc-26365 [001] 211673.500489: funcgraph_entry:                   |                        ip_queue_xmit() {
              nc-26365 [001] 211673.500490: funcgraph_entry:                   |                          __sk_dst_check() {
              nc-26365 [001] 211673.500490: funcgraph_entry:        0.228 us   |                            ipv4_dst_check();
              nc-26365 [001] 211673.500491: funcgraph_exit:         0.909 us   |                          }
              nc-26365 [001] 211673.500491: funcgraph_entry:        0.048 us   |                          skb_push();
              nc-26365 [001] 211673.500492: funcgraph_entry:                   |                          ip_local_out_sk() {
              nc-26365 [001] 211673.500492: funcgraph_entry:                   |                            __ip_local_out_sk() {
              nc-26365 [001] 211673.500493: funcgraph_entry:        0.079 us   |                              ip_send_check();
              nc-26365 [001] 211673.500493: funcgraph_entry:                   |                              nf_hook_slow() {
              nc-26365 [001] 211673.500494: funcgraph_entry:                   |                                nf_iterate() {
              nc-26365 [001] 211673.500495: funcgraph_entry:        0.160 us   |                                  ipv4_conntrack_defrag();
              nc-26365 [001] 211673.500496: funcgraph_entry:                   |                                  ipv4_conntrack_local() {
              nc-26365 [001] 211673.500496: funcgraph_entry:                   |                                    nf_conntrack_in() {
              nc-26365 [001] 211673.500497: funcgraph_entry:        0.167 us   |                                      ipv4_get_l4proto();
              nc-26365 [001] 211673.500498: funcgraph_entry:        0.294 us   |                                      __nf_ct_l4proto_find();
              nc-26365 [001] 211673.500499: funcgraph_entry:        0.249 us   |                                      tcp_error();
